figure,panel,series,regime,context,x,value,ci95_low,ci95_high,statistic,owning_section
2,a,goal_blind_prior,MASKED,RPE1,,0.343,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,MASKED,HepG2,,0.281,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,MASKED,Jurkat,,0.087,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,MASKED,pooled,,0.17,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,SEEN,RPE1,,0.437,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,SEEN,HepG2,,0.31,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,SEEN,Jurkat,,0.108,,,median BU@20 over query-view rows,sec:heldout
2,a,goal_blind_prior,SEEN,pooled,,0.194,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,MASKED,RPE1,,0.227,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,MASKED,HepG2,,0.375,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,MASKED,Jurkat,,0.352,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,MASKED,pooled,,0.294,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,SEEN,RPE1,,0.326,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,SEEN,HepG2,,0.427,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,SEEN,Jurkat,,0.438,,,median BU@20 over query-view rows,sec:heldout
2,a,internal_forward_then_match,SEEN,pooled,,0.396,,,median BU@20 over query-view rows,sec:heldout
2,a,base,MASKED,RPE1,,0.389,,,median BU@20 over query-view rows,sec:heldout
2,a,base,MASKED,HepG2,,0.413,,,median BU@20 over query-view rows,sec:heldout
2,a,base,MASKED,Jurkat,,0.495,,,median BU@20 over query-view rows,sec:heldout
2,a,base,MASKED,pooled,,0.44,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,MASKED,RPE1,,0.447,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,MASKED,HepG2,,0.498,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,MASKED,Jurkat,,0.548,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,MASKED,pooled,,0.499,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,SEEN,RPE1,,0.462,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,SEEN,HepG2,,0.485,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,SEEN,Jurkat,,0.556,,,median BU@20 over query-view rows,sec:heldout
2,a,vcdesign_ced,SEEN,pooled,,0.508,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_official,SEEN,RPE1,,0.114,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_official,SEEN,HepG2,,-0.098,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_official,SEEN,Jurkat,,-0.047,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_official,SEEN,pooled,,-0.02,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_native,SEEN,RPE1,,0.279,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_native,SEEN,HepG2,,0.196,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_native,SEEN,Jurkat,,-0.116,,,median BU@20 over query-view rows,sec:heldout
2,a,cellnavi_native,SEEN,pooled,,0.015,,,median BU@20 over query-view rows,sec:heldout
2,a,profiled_signature_retrieval,SEEN,RPE1,,0.666,,,median BU@20 over query-view rows,sec:heldout
2,a,profiled_signature_retrieval,SEEN,HepG2,,0.658,,,median BU@20 over query-view rows,sec:heldout
2,a,profiled_signature_retrieval,SEEN,Jurkat,,0.691,,,median BU@20 over query-view rows,sec:heldout
2,a,profiled_signature_retrieval,SEEN,pooled,,0.675,,,median BU@20 over query-view rows,sec:heldout
2,b,VCDesign-CED minus Base,MASKED,RPE1,,0.0526412845131594,0.04697664061479789,0.05827481197675688,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,MASKED,HepG2,,0.06984849602328516,0.06013755458504513,0.08125271094884717,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,MASKED,Jurkat,,0.03896373989567356,0.03413613917776704,0.04538644044529372,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,MASKED,pooled,,0.049201783576071106,0.04556696045401165,0.05342857901455489,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,SEEN,RPE1,,0.06907157732474076,0.06175528631139844,0.07550607963254952,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,SEEN,HepG2,,0.06721733587945242,0.058979055559632954,0.07920321719088208,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,SEEN,Jurkat,,0.04344172824885301,0.037400780079901594,0.051775356510054715,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,b,VCDesign-CED minus Base,SEEN,pooled,,0.058316765734868437,0.053010698035968695,0.062486560819223325,"median paired BU@20 difference, query-gene cluster bootstrap",sec:heldout
2,c,VCDesign-CED minus Base scorer,K562 held-out,K562,,0.03188869091122179,0.02865932586842962,0.036752656737531336,"median paired mean-BU difference, row bootstrap (locked record)",sec:heldout
2,c,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,,0.02683742246458032,0.01435693325656287,0.034066210756649534,"median paired mean-BU difference, row bootstrap (locked record)",sec:heldout
2,d,VCDesign-CED minus Base scorer,K562 held-out,K562,10,0.10818713450292397,0.03070175438596491,0.1871345029239766,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Base scorer,K562 held-out,K562,20,0.3742690058479532,0.2573099415204678,0.49415204678362573,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Base scorer,K562 held-out,K562,50,1.935672514619883,1.6198830409356726,2.247076023391813,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,10,-0.0891812865497076,-0.21783625730994152,0.038011695906432746,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,20,0.12280701754385964,-0.06725146198830409,0.3128654970760234,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
2,d,VCDesign-CED minus Text-augmented ranker,K562 held-out,K562,50,2.1973684210526314,1.827485380116959,2.573099415204678,"mean paired high-value-hit difference, identity-cluster bootstrap",sec:heldout
3,a,full_measured minus size_controlled,paired arms,RPE1,,0.0007702290033226311,0.0003367392569573746,0.0013100237428421424,"median paired BU@20 difference, query-gene cluster bootstrap",sec:context
