query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
COX8A,0,-0.7439166401478149,0.1714900738186125,-0.06631485064965907,0.11257894334571256,0.061394273343215684,0.12770912399287476,-0.05118467000249687,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,sec:heldout
PACS2,0,0.40775705496858944,0.06504789228986098,0.4279240013182252,0.30140570718211407,0.3714352672362771,-0.0564887340819481,0.07002956005416305,5.0,9.0,11.0,2.0,5.0,7.0,3.0,7.0,12.0,sec:heldout
HIRIP3,0,0.04657997458515556,-0.0006874112484245848,0.11828729426455505,0.03182429493478884,0.10312931191574141,-0.015157982348813631,0.07130501698095257,1.0,2.0,7.0,0.0,2.0,6.0,1.0,3.0,4.0,sec:heldout
TCF15,0,-0.23966607756036296,0.10595721574583822,-0.05811988248866783,-0.19488027424063362,-0.07183469003520401,-0.01371480754653618,0.1230455842054296,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,sec:heldout
TAB2,0,-0.1321456210893658,0.08452025653042759,0.1777396214986501,-0.01948455669711807,0.2310799943023698,0.0533403728037197,0.2505645509994879,2.0,2.0,4.0,1.0,2.0,3.0,3.0,5.0,7.0,sec:heldout
SMTN,0,0.198861160513183,0.039440921406675905,0.31908438181684046,0.09367121436421864,0.240892127239729,-0.07819225457711146,0.14722091287551037,3.0,3.0,5.0,0.0,4.0,7.0,3.0,3.0,6.0,sec:heldout
THOP1,0,-0.0667870914494028,-0.010735660064954924,-0.27666918055093476,-0.19393945604563467,-0.16708220646060581,0.10958697409032894,0.02685724958502886,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,sec:heldout
RAB28,0,0.3546920813957995,0.026664940711539842,0.23052004253980604,0.33142129110214497,0.1665940875331072,-0.06392595500669884,-0.16482720356903777,4.0,5.0,6.0,2.0,4.0,7.0,2.0,4.0,5.0,sec:heldout
COMTD1,0,-0.14844977351539926,0.07429979257823825,-0.0011175716146911892,-0.05283259405081794,0.02631036493606324,0.027427936550754428,0.07914295898688117,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,sec:heldout
SYNCRIP,0,0.424806231619791,0.4381917774413946,0.6394629671316174,0.5889903629968746,0.6434335178317669,0.003970550700149511,0.05444315483489237,10.0,16.0,22.0,9.0,14.0,20.0,9.0,18.0,27.0,sec:heldout
POP4,0,0.2869993889869714,0.7204501860138924,0.6520285335388943,0.6107178348904464,0.7342050893372578,0.08217655579836347,0.12348725444681141,9.0,16.0,17.0,9.0,14.0,15.0,10.0,18.0,25.0,sec:heldout
TPI1,0,0.31329569247538863,0.3344300229185264,0.47112469376749844,0.502176651375733,0.558539780567019,0.08741508679952059,0.056363129191286054,4.0,7.0,10.0,4.0,5.0,7.0,5.0,10.0,22.0,sec:heldout
HNRNPDL,0,0.22688102478526695,0.24046523674238804,0.4218059219901978,0.4656330752147029,0.45284991056952323,0.031043988579325443,-0.012783164645179645,7.0,12.0,16.0,8.0,11.0,15.0,7.0,12.0,17.0,sec:heldout
NELFA,0,0.1683499153144341,0.13379406143228606,0.4501639171140261,0.3145539303362019,0.43387443354420435,-0.01628948356982174,0.11932050320800247,5.0,9.0,16.0,5.0,7.0,10.0,4.0,9.0,15.0,sec:heldout
VPS29,0,0.2981774527362357,0.07304245006109848,0.457642431282499,0.5265985911585265,0.4754914092240421,0.01784897794154311,-0.05110718193448438,6.0,8.0,12.0,6.0,10.0,13.0,5.0,10.0,16.0,sec:heldout
ZNF780A,0,-0.10921163045045001,0.04138928767053566,-0.009333281016841367,0.10800983621030785,0.0561166081120035,0.06544988912884486,-0.05189322809830435,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,sec:heldout
BUD23,0,0.21125232771112498,0.682661645744543,0.6690405953329317,0.6248984727276811,0.7371275209505036,0.0680869256175719,0.11222904822282254,10.0,15.0,16.0,9.0,13.0,14.0,10.0,18.0,22.0,sec:heldout
MICB,0,-0.569679155065704,0.0446170685706083,0.05240067270218381,-0.061848575893462515,0.03601349538684481,-0.016387177315339,0.09786207128030733,2.0,3.0,4.0,0.0,2.0,2.0,2.0,4.0,7.0,sec:heldout
SH3GLB2,0,0.37501659625597455,0.3489564211146301,0.3782390806694998,0.47381482752297277,0.485615779791075,0.10737669912157521,0.011800952268102238,4.0,5.0,6.0,4.0,9.0,12.0,6.0,8.0,11.0,sec:heldout
SPECC1,0,-0.24329361838965383,-0.00641715843829917,0.1296308848967766,-0.03798861644244792,0.07228262624002371,-0.05734825865675289,0.11027124268247163,2.0,2.0,6.0,1.0,1.0,3.0,0.0,2.0,5.0,sec:heldout
ADSL,0,0.24173180091459454,0.08755622904734621,0.5235348528715805,0.5982851138406912,0.5842767425427661,0.060741889671185545,-0.014008371297925093,6.0,8.0,16.0,7.0,10.0,13.0,5.0,9.0,17.0,sec:heldout
PHF20,0,0.3269106181031165,0.08145559287850344,0.3451968038552596,0.3220902792853534,0.36339252052503473,0.018195716669775153,0.04130224123968135,3.0,7.0,13.0,3.0,9.0,15.0,3.0,8.0,12.0,sec:heldout
