panel,record_type,context,regime_or_state,method,share,query,view,value,ci95_low,ci95_high,metric,owning_section,note
a,plotted_level,pooled,MASKED,Forward-match,,,,0.2935704126698596,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,SEEN,Forward-match,,,,0.3958669537321793,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,MASKED,Base,,,,0.43959549177214163,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,SEEN,Base,,,,0.43959549177214163,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,MASKED,VCDesign-CED,,,,0.4989576535408368,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,SEEN,VCDesign-CED,,,,0.5075526284382246,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,SEEN,CellNavi,,,,0.015011397473915482,,,BU@20,sec:context,median over pooled query-view rows
a,plotted_level,pooled,SEEN,Profile retrieval,,,,0.6746711115615611,,,BU@20,sec:context,median over pooled query-view rows
a,headline_contrast,pooled,MASKED,VCDesign-CED_minus_Base,,,,0.049201783576071106,0.04556696045401165,0.05342857901455489,paired delta BU@20,sec:context,query-gene cluster bootstrap
a,headline_contrast,pooled,SEEN,Profile_retrieval_minus_VCDesign-CED,,,,0.15193164983577273,0.14238612784644208,0.16022272664643317,paired delta BU@20,sec:context,query-gene cluster bootstrap
b,plotted_summary,RPE1,full_measured,VCDesign-CED minus Base,,,,0.06907157732474076,0.06175528631139844,0.07550607963254952,paired delta BU@20,sec:context,direct per-row scores
b,plotted_summary,RPE1,size_controlled,VCDesign-CED minus Base,,,,0.06645332826900724,0.06096345772057428,0.07268019316556074,paired delta BU@20,sec:context,direct per-row scores
b,plotted_summary,RPE1,response_unseen,VCDesign-CED minus Base,,,,0.0526412845131594,0.04697664061479789,0.05827481197675688,paired delta BU@20,sec:context,direct per-row scores
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,AARS,0,0.11605836258056013,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,AARS,0,0.1185026291589018,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,AARS,0,0.10892795207697314,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,AC118549.1,0,0.07339108215341661,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,AC118549.1,0,0.0724714571352626,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,AC118549.1,0,0.10967000137810601,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ACTB,0,0.12300927183687253,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ACTB,0,0.09699877242923018,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ACTB,0,0.06785483372144854,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ACTR1A,0,-0.08968269876082227,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ACTR1A,0,-0.02070510455739133,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ACTR1A,0,-0.07012261292522837,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ACTR1B,0,0.10021516946940612,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ACTR1B,0,0.10334905090711016,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ACTR1B,0,0.005123100251217982,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ACTR6,0,0.06758965501221131,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ACTR6,0,0.0631066109551594,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ACTR6,0,0.054927656369509414,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ADAT2,0,-0.01642954880025378,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ADAT2,0,-0.00883725404483756,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ADAT2,0,0.03873244566607313,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,AHCY,0,0.1681148847855109,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,AHCY,0,0.1373773571109024,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,AHCY,0,0.11248130916273405,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ALDOA,0,0.09556350933400182,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ALDOA,0,0.134670772794654,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ALDOA,0,0.08454700380862223,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ANKS6,0,0.14753966433012677,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ANKS6,0,0.1339736808149652,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ANKS6,0,0.026335411043172212,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,AP2S1,0,0.040459331360074874,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,AP2S1,0,0.03513432940200645,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,AP2S1,0,0.07407138949609557,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ARID3A,0,0.06413647782538068,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ARID3A,0,0.07030507961967791,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ARID3A,0,-0.004301010525612214,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ARID5B,0,0.023369511537497556,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ARID5B,0,0.02616807206462829,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ARID5B,0,-0.00614579607710436,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ASCC3,0,0.05631359118533347,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ASCC3,0,0.05730456407005402,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ASCC3,0,0.07209596581816463,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ATF5,0,0.006506768443732824,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ATF5,0,-0.016265084969952437,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ATF5,0,0.032926969699374864,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ATP5F1B,0,-0.27471907880263424,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ATP5F1B,0,-0.22807204992405322,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ATP5F1B,0,-0.11165044540850023,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ATP5PO,0,-0.06366104078625995,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ATP5PO,0,-0.05651427011283219,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ATP5PO,0,0.0013516456941659594,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,ATXN10,0,-0.08298858248993621,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,ATXN10,0,-0.07386855694471897,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,ATXN10,0,-0.09504283377905284,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BCLAF1,0,-0.08751234224058776,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BCLAF1,0,-0.09083120671108036,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BCLAF1,0,-0.05582153891750985,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BCR,0,-0.2787270593209244,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BCR,0,-0.24682837577798705,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BCR,0,-0.15227792691374556,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BNIP1,0,0.048479098431951195,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BNIP1,0,0.04365007371630214,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BNIP1,0,0.045913732384753825,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BRD4,0,0.017001076425635392,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BRD4,0,0.06837546877036223,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BRD4,0,-0.09055971089598792,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BTAF1,0,-0.04254612264822376,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BTAF1,0,-0.017234870934230304,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BTAF1,0,-0.08567795595008604,,,paired delta BU@20,sec:context,query-view row
