panel,record_type,context,condition_or_variant,x_value,y_value,value,ci95_low,ci95_high,metric,reference,owning_section,note
a,probe_cell,development split,Q_CURRENT__C_LEGAL,0.14525184243164202,Q_CURRENT,0.14525184243164202,,,MBRU,C_LEGAL,sec:analysis,one bilinear probe scorer per factorial cell
a,probe_cell,development split,Q_RAW__C_LEGAL,0.13314494680065558,Q_RAW,0.13314494680065558,,,MBRU,C_LEGAL,sec:analysis,one bilinear probe scorer per factorial cell
a,probe_cell,development split,Q_CURRENT__C_ORACLE,0.6345437235865714,Q_CURRENT,0.6345437235865714,,,MBRU,C_ORACLE,sec:analysis,one bilinear probe scorer per factorial cell
a,probe_cell,development split,Q_RAW__C_ORACLE,0.6364950071116773,Q_RAW,0.6364950071116773,,,MBRU,C_ORACLE,sec:analysis,one bilinear probe scorer per factorial cell
a,candidate_swap,development split,Q_CURRENT,,,0.4892918811549294,,,delta MBRU,static knowledge to measured response,sec:analysis,difference of recorded cell medians
a,candidate_swap,development split,Q_RAW,,,0.5033500603110217,,,delta MBRU,static knowledge to measured response,sec:analysis,difference of recorded cell medians
b,plotted_level,RPE1,M_spread,,,0.01932,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
b,plotted_level,RPE1,three_M,,,0.04759,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
b,plotted_level,HepG2,M_spread,,,0.03011,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
b,plotted_level,HepG2,three_M,,,0.05075,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
b,plotted_level,Jurkat,M_spread,,,0.00687,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
b,plotted_level,Jurkat,three_M,,,0.02355,,,paired delta MBRU,frozen K562 base scorer,sec:analysis,same perturbation identities
c,plotted_contrast,pooled,Predictive response basis,0.0009086250815539543,,0.0009086250815539543,0.0005963330100796138,0.0012947454874863984,paired delta BU@20,unit-direction ridge,sec:analysis,model
