regime,method_id,method,role,rpe1,hepg2,jurkat,pooled,qwr20_vs_base,mu20_pooled,hvhit20_pooled,note
MASKED,random,Random,chance,0.005,0.005,-0.001,0.002,0.122,0.083,1.06,
MASKED,goal_blind_prior,Goal-blind prior,baseline,0.343,0.281,0.087,0.17,0.271,0.131,2.03,
MASKED,base,BASE,base_scorer,0.389,0.413,0.495,0.44,,0.234,5.81,
MASKED,internal_forward_then_match,Internal forward-then-match,forward_comparator,0.227,0.375,0.352,0.294,0.41,0.205,5.82,informative forward comparator
MASKED,vcdesign_ced,VCDesign-CED,method,0.447,0.498,0.548,0.499,0.785,0.266,6.92,BASE plus RIDGE_UNIT
MASKED,measured_response_oracle,Measured-response oracle,non_deployable_oracle,0.964,0.937,0.938,0.951,0.969,0.395,15.54,analysis only
SEEN,random,Random,chance,-0.005,-0.01,-0.003,-0.005,0.125,,,
SEEN,gears,GEARS,degenerate_external_companion,-0.199,-0.1,-0.037,-0.078,0.135,,,all contract fits predict a candidate-invariant shift
SEEN,cellnavi_official,"CellNavi, official recipe",external_companion,0.114,-0.098,-0.047,-0.02,0.117,,,closed-set; one fine-tune per context at the official 1050-step budget
SEEN,cellnavi_native,"CellNavi, native class scale",external_companion,0.279,0.196,-0.116,0.015,0.26,,,closed-set; 1273/764/1450 classes; one fine-tune per context at the official 1050-step budget
SEEN,goal_blind_prior,Goal-blind prior,baseline,0.437,0.31,0.108,0.194,0.294,,,
SEEN,ridge_unit_k562_atlas,"RIDGE_UNIT, K562-only atlas",gears_matched_internal_estimator,0.285,0.375,0.389,0.342,0.453,,,same atlas used for the GEARS estimator comparison
SEEN,internal_forward_then_match,Internal forward-then-match,forward_comparator,0.326,0.427,0.438,0.396,0.545,,,informative forward comparator
SEEN,base,BASE,base_scorer,0.389,0.413,0.495,0.44,,,,
SEEN,vcdesign_ced,VCDesign-CED,method,0.462,0.485,0.556,0.508,0.819,,,BASE plus RIDGE_UNIT
SEEN,profiled_signature_retrieval,Profiled signature retrieval,measured_response_retrieval,0.666,0.658,0.691,0.675,0.867,,,SEEN only
SEEN,measured_response_oracle,Measured-response oracle,non_deployable_oracle,0.964,0.937,0.938,0.951,0.969,,,analysis only
